PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000215952,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000216012,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000216081,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000216161,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000216636,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217045,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000217094,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000217124,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000217126,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000217132,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217135,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217284,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217361,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217594,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217642,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217645,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217649,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217651,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217675,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000217873,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000218266,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218267,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218269,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218270,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218271,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218509,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218707,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218934,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218937,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000218952,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219060,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219061,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219062,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219063,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219065,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219066,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219067,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219068,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219070,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219072,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219082,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219083,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219503,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219534,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219535,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219537,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219544,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219545,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219548,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219602,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219608,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000219683,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219693,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219713,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219716,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000219884,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000219950,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000219959,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000219998,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220054,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220059,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220080,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220392,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220406,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220407,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
