GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
158-201-206,158-201-0,false,0,"Plush & Stuffed Animals","Plush & Stuffed Animals",,,,,1,0
158-201-309,158-201-0,false,0,"Backpacks","Backpacks",,,,,1,0
211-0-0,,true,30,"School Uniforms","School Uniforms",,,,,1,0
211-212-0,211-0-0,false,0,"School Uniforms","School Uniforms",,,,,1,0
211-212-213,211-212-0,false,0,"Girls 2T-6X Uniforms","Girls 2T-6X Uniforms",,,,,1,0
211-212-214,211-212-0,false,0,"Girls 7-16 Uniforms","Girls 7-16 Uniforms",,,,,1,0
215-0-0,,true,10,"Shoes","Shoes",,,,,1,0
215-216-0,215-0-0,false,10,"Mens","Mens Shoes",,,,,1,0
215-216-217,215-216-0,false,0,"Mens Athletics","Men Athletic Shoes",,,,,1,0
215-216-218,215-216-0,false,0,"Mens Sandals","Men Sandals",,,,,1,0
215-216-219,215-216-0,false,0,"Oxfords & Boots","Men Oxfords & Boots",,,,,1,0
215-216-220,215-216-0,false,0,"Loafers & Slip-Ons","Men Loafers & Slip-ons",,,,,1,0
215-216-221,215-216-0,false,0,"Mens Boat Shoes","Men Boat Shoes",,,,,1,0
215-216-291,215-216-0,false,0,"Slippers","Men Slippers",,,,,1,0
215-216-311,215-216-0,false,0,"Walking & Comfort","Men Walking & Comfort",,,,,1,0
215-222-0,215-0-0,false,5,"Womens","Womens Shoes",,,,,1,0
215-222-223,215-222-0,false,0,"Womens Athletics","Womens Athletic Shoes",,,,,1,0
215-222-224,215-222-0,false,0,"Casual Sandals","Womens Casual Sandals",,,,,1,0
215-222-225,215-222-0,false,0,"Boots","Boots",,,,,1,0
215-222-226,215-222-0,false,0,"Loafers & Slip-ons","Womens Loafers & Slip-ons",,,,,1,0
215-222-227,215-222-0,false,0,"Heels & Pumps","Womens Heels & Pumps",,,,,1,0
215-222-292,215-222-0,false,0,"Slippers","Womens Slippers",,,,,1,0
215-222-298,215-222-0,false,0,"Clogs","Womens Clogs",,,,,1,0
215-222-312,215-222-0,false,0,"Womens Golf Shoes","Womens Golf Shoes",,,,,1,0
215-222-316,215-222-0,false,0,"Dress Sandals","Womens Dress Sandals",,,,,1,0
215-228-0,215-0-0,false,15,"Childrens","Childrens Shoes",,,,,1,0
215-228-229,215-228-0,false,0,"Boys Shoes","Boys Shoes",,,,,1,0
215-228-231,215-228-0,false,0,"Girls Shoes","Girls Shoes",,,,,1,0
233-0-0,,true,20,"At Home","At Home",,,,,1,0
233-234-0,233-0-0,false,70,"Dining","Dining",,,,,1,0
233-234-235,233-234-0,false,0,"Wine Glasses & Goblets","Wine Glasses & Goblets",,,,,1,0
233-234-236,233-234-0,false,0,"Tablecloths","Tablecloths",,,,,1,0
233-234-238,233-234-0,false,0,"Coasters","Coasters",,,,,1,0
233-234-239,233-234-0,false,0,"Beer Glasses","Beer Glasses",,,,,1,0
233-234-240,233-234-0,false,0,"Bowls","Bowls",,,,,1,0
233-234-241,233-234-0,false,0,"Salad Plates","Salad Plates",,,,,1,0
233-234-243,233-234-0,false,0,"Dinner Plates","Dinner Plates",,,,,1,0
233-234-244,233-234-0,false,0,"Flatware","Flatware",,,,,1,0
233-234-245,233-234-0,false,0,"Glassware Sets","Glassware Sets",,,,,1,0
233-234-247,233-234-0,false,0,"Chips, Dips, & Veggies","Chips, Dips, & Veggies",,,,,1,0
233-234-271,233-234-0,false,0,"Trays & Serveware","Trays & Serveware",,,,,1,0
233-234-301,233-234-0,false,0,"Bar Accessories","Bar Accessories",,,,,1,0
233-234-310,233-234-0,false,0,"Serving Bowls","Serving Bowls",,,,,1,0
233-248-0,233-0-0,false,90,"Travel & Leisure","Travel & Leisure",,,,,1,0
233-248-249,233-248-0,false,0,"Luggage","Luggage",,,,,1,0
233-248-250,233-248-0,false,0,"Duffle and Tote Bags","Duffle and Tote Bags",,,,,1,0
233-248-251,233-248-0,false,0,"Electronics & Gadgets","Electronics & Gadgets",,,,,1,0
233-252-0,233-0-0,false,20,"Home Decor","Home Decor",,,,,1,0
233-252-253,233-252-0,false,0,"Candles & Decorative Holders","Candles & Decorative Holders",,,,,1,0
233-252-256,233-252-0,false,0,"Crystal Accents","Crystal Accents",,,,,1,0
233-252-258,233-252-0,false,0,"Artificial Trees & Flowers","Artificial Trees & Flowers",,,,,1,0
233-252-259,233-252-0,false,0,"Cards & Calendars","Cards & Calendars",,,,,1,0
233-252-272,233-252-0,false,0,"Framed Art","Framed Art",,,,,1,0
233-252-288,233-252-0,false,0,"Accent Rugs & Doormats","Accent Rugs & Doormats",,,,,1,0
233-252-296,233-252-0,false,0,"Home Accents & Figurines","Home Accents & Figurines",,,,,1,0
233-252-317,233-252-0,false,0,"Furniture & TV Tables","Furniture & TV Tables",,,,,1,0
233-260-0,233-0-0,false,30,"Patio & Outdoor","Patio & Outdoor",,,,,1,0
233-260-261,233-260-0,false,0,"Lawn & Garden","Lawn & Garden",,,,,1,0
233-260-262,233-260-0,false,0,"Outdoor Drinkware","Outdoor Drinkware",,,,,1,0
233-260-263,233-260-0,false,0,"Coolers","Coolers",,,,,1,0
233-260-264,233-260-0,false,0,"Insulated Drinkware","Insulated Drinkware",,,,,1,0
233-260-270,233-260-0,false,0,"Chairs & Beach Gear","Chairs & Beach Gear",,,,,1,0
52-142-328,52-142-0,false,0,"Toe Rings","Toe Rings",,,,,1,0
52-53-329,52-53-0,false,130,"Capris","Capris",,,,,1,0
52-71-330,52-71-0,false,210,"Petite Capris & Crops","Petite Capris & Crops",,,,,1,0
52-89-331,52-89-0,false,0,"Plus Size Capris","Plus Size Capris",,,,,1,0
52-105-332,52-105-0,false,0,"Capris","Capris",,,,,1,0
158-159-334,158-159-0,false,0,"Shorts & Capris","Shorts & Capris",,,,,1,0
158-159-335,158-159-0,false,0,"Tops","Tops",,,,,1,0
52-149-336,52-149-0,false,0,"Umbrellas","Umbrellas",,,,,1,0
52-149-337,52-149-0,false,0,"Bath & Body","Bath & Body",,,,,1,0
52-149-338,52-149-0,false,0,"Pre Wrapped Gifts","Pre Wrapped Gifts",,,,,1,0
52-149-339,52-149-0,false,0,"Womens Fragrances","Womens Fragrances",,,,,1,0
