skuId,markup,listPrice,basePrice,costPrice
727,,24.99,24.99,24.99
727,,24.99,24.99,24.99
471,,24.99,24.99,24.99
471,,24.99,24.99,24.99
1587,,24.99,24.99,24.99
1587,,24.99,24.99,24.99
939,,24.99,24.99,24.99
939,,24.99,24.99,24.99
1830,,24.99,24.99,24.99
1830,,24.99,24.99,24.99
1433,,24.99,24.99,24.99
1433,,24.99,24.99,24.99
419,,24.99,24.99,24.99
419,,24.99,24.99,24.99
3165,,24.99,24.99,24.99
3165,,24.99,24.99,24.99
1724,,24.99,24.99,24.99
1724,,24.99,24.99,24.99
3126,,24.99,24.99,24.99
3126,,24.99,24.99,24.99
1005,,24.99,24.99,24.99
1005,,24.99,24.99,24.99
1065,,24.99,24.99,24.99
1065,,24.99,24.99,24.99
332,,24.99,24.99,24.99
332,,24.99,24.99,24.99
1247,,24.99,24.99,24.99
1247,,24.99,24.99,24.99
3148,,25.2,25.2,25.2
3148,,25.2,25.2,25.2
536,,25.2,25.2,25.2
536,,25.2,25.2,25.2
821,,13.0,13.0,13.0
2177,,13.0,13.0,13.0
1255,,13.0,13.0,13.0
1653,,13.0,13.0,13.0
386,,13.0,13.0,13.0
3215,,13.0,13.0,13.0
2790,,13.0,13.0,13.0
542,,13.0,13.0,13.0
2016,,13.0,13.0,13.0
908,,24.99,24.99,24.99
908,,30.8,30.8,30.8
1536,,24.99,24.99,24.99
1536,,30.8,30.8,30.8
1183,,24.99,24.99,24.99
1183,,30.8,30.8,30.8
3204,,24.99,24.99,24.99
3204,,30.8,30.8,30.8
2481,,24.99,24.99,24.99
2481,,30.8,30.8,30.8
1762,,24.99,24.99,24.99
1762,,30.8,30.8,30.8
1356,,24.99,24.99,24.99
1356,,30.8,30.8,30.8
144,,24.99,24.99,24.99
144,,30.8,30.8,30.8
643,,24.99,24.99,24.99
643,,30.8,30.8,30.8
1978,,24.99,24.99,24.99
1978,,30.8,30.8,30.8
262,,24.99,24.99,24.99
262,,30.8,30.8,30.8
2375,,24.99,24.99,24.99
2375,,30.8,30.8,30.8
2654,,24.99,24.99,24.99
2654,,30.8,30.8,30.8
2899,,24.99,24.99,24.99
2899,,30.8,30.8,30.8
951,,24.99,24.99,24.99
951,,30.8,30.8,30.8
3209,,24.99,24.99,24.99
3209,,30.8,30.8,30.8
1274,,24.99,24.99,24.99
1274,,30.8,30.8,30.8
1061,,24.99,24.99,24.99
1061,,30.8,30.8,30.8
1892,,24.99,24.99,24.99
1892,,30.8,30.8,30.8
2621,,24.99,24.99,24.99
2621,,30.8,30.8,30.8
2649,,24.99,24.99,24.99
2649,,30.8,30.8,30.8
757,,24.99,24.99,24.99
757,,30.8,30.8,30.8
2686,,24.99,24.99,24.99
2686,,30.8,30.8,30.8
128,,24.99,24.99,24.99
128,,30.8,30.8,30.8
2358,,24.99,24.99,24.99
2358,,30.8,30.8,30.8
75,,24.99,24.99,24.99
75,,30.8,30.8,30.8
1141,,24.99,24.99,24.99
1141,,30.8,30.8,30.8
1831,,24.99,24.99,24.99
1831,,30.8,30.8,30.8
963,,24.99,24.99,24.99
963,,30.8,30.8,30.8
174,,24.99,24.99,24.99
174,,30.8,30.8,30.8
800,,24.99,24.99,24.99
800,,30.8,30.8,30.8
510,,24.99,24.99,24.99
510,,30.8,30.8,30.8
2886,,24.99,24.99,24.99
