ProductRefId,Name,Description,Value,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
P000215398,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215505,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215507,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215555,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215608,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000215673,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000215774,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215876,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215919,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215923,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215927,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215932,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215934,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215941,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215945,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215949,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215952,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000216012,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000216081,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000216161,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000216636,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217045,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000217094,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000217124,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000217126,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000217132,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217135,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217284,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217361,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217594,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217642,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217645,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217649,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217651,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217675,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000217873,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000218266,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218267,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218269,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218270,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218271,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218509,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218707,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218934,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218937,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000218952,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219060,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219061,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219062,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219063,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219065,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219066,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219067,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219068,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219070,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219072,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219082,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219083,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219503,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219534,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219535,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219537,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219544,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219545,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219548,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219602,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219608,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000219683,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219693,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219713,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219716,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000219884,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000219950,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000219959,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000219998,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000220054,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000220059,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000220080,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000220392,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
